from_cell,to_site,people_moved,distance_km,origin_risk,destination_suitability,geometry_wkt
WAY_HEX_0114,SAFE_SITE_000,1637,49.67,73.71,84.65,"LINESTRING (75.855629 11.76246, 76.2844 11.610512)"
WAY_HEX_0114,SAFE_SITE_015,1238,45.58,73.71,83.0,"LINESTRING (75.855629 11.76246, 76.268276 11.69515)"
WAY_HEX_0114,SAFE_SITE_014,475,49.49,73.71,82.54,"LINESTRING (75.855629 11.76246, 76.301213 11.67621)"
WAY_HEX_0114,SAFE_SITE_033,2116,42.44,73.71,81.34,"LINESTRING (75.855629 11.76246, 76.235167 11.676502)"
WAY_HEX_0114,SAFE_SITE_032,1345,41.52,73.71,78.9,"LINESTRING (75.855629 11.76246, 76.218532 11.648384)"
